experiment	biosample	pl_reads	mn_reads	total_reads
ENCSR882DWM	K562	14206466	13712815	27919281
ENCSR114HGS	K562	14050011	13555473	27605484
ENCSR165QKR	HCT116	23269890	23011302	46281192
ENCSR197JLW	HCT116	12336819	12177545	24514364
ENCSR100EDZ	HCT116	16717966	16451256	33169222
ENCSR273ORE	HCT116	12736337	12624400	25360737
ENCSR124RWD	right ventricle myocardium	14953970	14891106	29845076
ENCSR178XKL	WTC11	13033808	12865387	25899195
ENCSR720EXP	Metastatic Liver Carcinoma in the Lung	6513897	6450310	12964207
ENCSR753TEA	liver	10521242	10492244	21013486
ENCSR961UBB	heart left ventricle	15384209	15366492	30750701
ENCSR796JNK	LUHMES	10599224	10538882	21138106
ENCSR784YIV	colonic mucosa	17572346	17274225	34846571
ENCSR478DAN	upper lobe of left lung	7105531	6970276	14075807
ENCSR666GXV	Colon Carcinoma Metastatic in the Lung	9526627	9520623	19047250
ENCSR520PUD	HEK293	27272668	27077407	54350075
ENCSR417NJC	spleen	15400338	15280531	30680869
ENCSR215OJB	GM23338	32476128	32029565	64505693
ENCSR053UMZ	cerebellum	4625900	4872158	9498058
ENCSR867EQV	HCT116	22762321	22463344	45225665
ENCSR386RDW	subcutaneous adipose tissue	15074771	15024944	30099715
ENCSR694RPO	right lobe of liver	15874668	15889142	31763810
ENCSR248SVP	osteocyte	11009266	10805026	21814292
ENCSR992HBP	right lobe of liver	16289889	16234832	32524721
ENCSR967RHN	lower lobe of left lung	20432390	20018027	40450417
ENCSR757HMG	Peyer's patch	20538978	20244072	40783050
ENCSR983JFU	REH cell	23828774	23734614	47563388
ENCSR644TYW	Colon Carcinoma Metastatic in the Brain	4465900	4418375	8884275
ENCSR542IVL	testis	15904632	15814513	31719145
ENCSR821MIF	spleen	10515610	10483569	20999179
ENCSR970ACM	adrenal gland	13091878	12697201	25789079
ENCSR484CAZ	cardiac septum	14777422	14553235	29330657
ENCSR074XYR	Colon Carcinoma Metastatic in the Brain	6929194	6884825	13814019
ENCSR636RVF	skeletal muscle tissue	14919780	15074554	29994334
ENCSR122BHP	colic lymph node	15258030	15194316	30452346
