experiment	biosample	pl_reads	mn_reads	total_reads	profile_jsd	log_counts_pearson
ENCSR882DWM	K562	14206466	13712815	27919281	0.4542483942849295	0.18832648439066751
ENCSR114HGS	K562	14050011	13555473	27605484	0.4540332981518337	0.21191887770380294
ENCSR165QKR	HCT116	23269890	23011302	46281192	0.2945367140429361	0.7142216903822762
ENCSR197JLW	HCT116	12336819	12177545	24514364	0.3348867382322039	0.6670076591627938
ENCSR100EDZ	HCT116	16717966	16451256	33169222	0.3133337157113211	0.7452107071876526
ENCSR273ORE	HCT116	12736337	12624400	25360737	0.3006622152669089	0.6821546980312893
ENCSR124RWD	right ventricle myocardium	14953970	14891106	29845076	0.3505801430770329	0.7203302213123867
ENCSR178XKL	WTC11	13033808	12865387	25899195	0.3450378860746111	0.7119389857564654
ENCSR720EXP	Metastatic Liver Carcinoma in the Lung	6513897	6450310	12964207	0.34127381443977356	0.6696523002215794
ENCSR753TEA	liver	10521242	10492244	21013486	0.3621230551174709	0.6600207345826286
ENCSR961UBB	heart left ventricle	15384209	15366492	30750701	0.3400088974407741	0.7422858391489301
ENCSR796JNK	LUHMES	10599224	10538882	21138106	0.3665646357195718	0.7522597823824201
ENCSR784YIV	colonic mucosa	17572346	17274225	34846571	0.363432982138225	0.7355915904045105
ENCSR478DAN	upper lobe of left lung	7105531	6970276	14075807	0.3572250689779009	0.6924897091729301
ENCSR666GXV	Colon Carcinoma Metastatic in the Lung	9526627	9520623	19047250	0.3467486926487514	0.7085924233709063
ENCSR520PUD	HEK293	27272668	27077407	54350075	0.29406709330422537	0.7653910006795611
ENCSR417NJC	spleen	15400338	15280531	30680869	0.37393045851162504	0.7156560250691005
ENCSR215OJB	GM23338	32476128	32029565	64505693	0.3390945153576987	0.7304480160985675
ENCSR053UMZ	cerebellum	4625900	4872158	9498058	0.38448917865753174	0.66673344373703
ENCSR867EQV	HCT116	22762321	22463344	45225665	0.33604203377451214	0.7027056813240051
ENCSR386RDW	subcutaneous adipose tissue	15074771	15024944	30099715	0.35976971473012653	0.7172441823141915
ENCSR694RPO	right lobe of liver	15874668	15889142	31763810	0.3952199476105826	0.6261612858091082
ENCSR248SVP	osteocyte	11009266	10805026	21814292	0.3302087187767029	0.6562779034887042
