experiment	biosample	pl_reads	mn_reads	total_reads	profile_pearson	profile_jsd	log_counts_pearson	counts_spearman
ENCSR882DWM	K562	14206466	13712815	27919281	0.46244871616363525	0.4359784892627171	0.15012447003807342	0.14097357328448976
ENCSR114HGS	K562	14050011	13555473	27605484	0.45205553088869366	0.4375730071749006	0.1981271207332611	0.18462238354342325
ENCSR165QKR	HCT116	23269890	23011302	46281192	0.6491630247661045	0.2617904969624111	0.7429617132459369	0.7834273747035435
ENCSR197JLW	HCT116	12336819	12177545	24514364	0.6260082636560712	0.30198719671794344	0.7030022995812553	0.744152443749564
ENCSR100EDZ	HCT116	16717966	16451256	33169222	0.6947397419384548	0.27626367126192364	0.7732858657836914	0.8159261516162327
ENCSR273ORE	HCT116	12736337	12624400	25360737	0.6274943607194083	0.273734165089471	0.7135248609951564	0.7436002237456185
ENCSR124RWD	right ventricle myocardium	14953970	14891106	29845076	0.5255507613931384	0.3388168513774872	0.7279591049466815	0.741843717438834
ENCSR178XKL	WTC11	13033808	12865387	25899195	0.5994812164987836	0.31772578188351225	0.7446525352341788	0.7758968727929252
ENCSR720EXP	Metastatic Liver Carcinoma in the Lung	6513897	6450310	12964207	0.5813096846852984	0.31525735344205585	0.6871699861117772	0.7097701515470233
ENCSR753TEA	liver	10521242	10492244	21013486	0.49644159419195993	0.35350113255637033	0.6663741980280194	0.6787604774747577
ENCSR961UBB	heart left ventricle	15384209	15366492	30750701	0.5669193608420235	0.3131991837705885	0.749505375112806	0.7727790815489632
ENCSR796JNK	LUHMES	10599224	10538882	21138106	0.5147404755864825	0.3457666422639574	0.7706765787942069	0.7827137538364956
ENCSR784YIV	colonic mucosa	17572346	17274225	34846571	0.508106917142868	0.3503771126270294	0.7411387733050755	0.7524037957191467
ENCSR478DAN	upper lobe of left lung	7105531	6970276	14075807	0.5788993409701756	0.32417755893298555	0.7184122800827026	0.7349225282669067
ENCSR666GXV	Colon Carcinoma Metastatic in the Lung	9526627	9520623	19047250	0.5238031361784253	0.3390648790768215	0.7137546539306641	0.7315323267664228
ENCSR520PUD	HEK293	27272668	27077407	54350075	0.5718923551695687	0.2819617135184152	0.7818647708211627	0.7919439588274274
ENCSR417NJC	spleen	15400338	15280531	30680869	0.47312741194452557	0.3627653121948242	0.724836494241442	0.7448176656450544
ENCSR215OJB	GM23338	32476128	32029565	64505693	0.5868110316140311	0.3131771428244455	0.7621833086013794	0.7892487219401768
ENCSR053UMZ	cerebellum	4625900	4872158	9498058	0.487376081092017	0.364284553698131	0.6764609387942723	0.6847878353936332
ENCSR867EQV	HCT116	22762321	22463344	45225665	0.622404328414372	0.3049295800072806	0.7340916480336871	0.7709590792655945
ENCSR386RDW	subcutaneous adipose tissue	15074771	15024944	30099715	0.5183330433709281	0.342021895306451	0.7279643842152187	0.7401748640196664
ENCSR694RPO	right lobe of liver	15874668	15889142	31763810	0.48720831530434744	0.365464129618236	0.6451689175197056	0.6479728136743818
ENCSR248SVP	osteocyte	11009266	10805026	21814292	0.5661985789026532	0.3066034529890333	0.691429580960955	0.711585283279419
ENCSR992HBP	right lobe of liver	16289889	16234832	32524721	0.5384618384497506	0.33647774372782024	0.6992710062435695	0.7068503499031067
ENCSR967RHN	lower lobe of left lung	20432390	20018027	40450417	0.5084789395332336	0.3508472570351192	0.7971936464309692	0.8118481295449393
ENCSR757HMG	Peyer's patch	20538978	20244072	40783050	0.5056746218885694	0.3451002963951656	0.7169886827468872	0.7172938755580357
ENCSR983JFU	REH cell	23828774	23734614	47563388	0.5022373242037637	0.3345597471509661	0.6356478929519653	0.6679473604474749
ENCSR644TYW	Colon Carcinoma Metastatic in the Brain	4465900	4418375	8884275	0.5616791674068996	0.3217696590082986	0.6144786306789943	0.6383804678916931
ENCSR542IVL	testis	15904632	15814513	31719145	0.5451851231711251	0.3359620315687997	0.7945497291428703	0.803935876914433
ENCSR821MIF	spleen	10515610	10483569	20999179	0.4932427278586796	0.35884042722838266	0.758721513407571	0.77552216393607
ENCSR970ACM	adrenal gland	13091878	12697201	25789079	0.520518673317773	0.35306778124400545	0.7285315138953072	0.7471500209399632
ENCSR484CAZ	cardiac septum	14777422	14553235	29330657	0.5079786011150905	0.363381952047348	0.7133548600333077	0.7171909383365086
ENCSR074XYR	Colon Carcinoma Metastatic in the Brain	6929194	6884825	13814019	0.5491584965160915	0.31888288259506226	0.6354408434459141	0.6651132191930499
ENCSR636RVF	skeletal muscle tissue	14919780	15074554	29994334	0.4867997339793614	0.349637644631522	0.590552134173257	0.6035147905349731
ENCSR122BHP	colic lymph node	15258030	15194316	30452346	0.5023395121097565	0.34273906690733774	0.6768973554883685	0.6925810405186245
ENCSR282COG	gallbladder	15125994	14875961	30001955	0.5482217669487	0.33010904278073994	0.7179266554968697	0.7414594377790179
ENCSR618ZHM	ileum	12221804	11992767	24214571	0.5137576035090855	0.3365740478038788	0.7123676027570452	0.73014383656638
ENCSR940QKZ	ovary	27743506	27955404	55698910	0.4930737018585205	0.3386824131011963	0.7258239558764866	0.7408324905804226
ENCSR093JST	monocyte	14479519	14167944	28647463	0.45468913657324656	0.40131268330982756	0.5486437891210828	0.538295349904469
ENCSR331QXJ	Colon Carcinoma Metastatic in the Lung	6360063	6309578	12669641	0.5484259384019035	0.3240334817341396	0.6376532401357379	0.6656375782830375
ENCSR575NNF	right lobe of liver	15695265	15515577	31210842	0.5413617662021092	0.3484974333218166	0.6826128363609314	0.6911921075412205
ENCSR915VCN	cerebral cortex	15870985	15931140	31802125	0.5206603876182011	0.35529653089387075	0.7720670444624764	0.7827095133917672
ENCSR766KPR	ovary	19463689	19567371	39031060	0.5267565080097744	0.31834437591688974	0.7158312201499939	0.7360475999968392
ENCSR399LAD	uterus	23837597	23934526	47772123	0.5281901444707598	0.3222934433392116	0.7244109766823905	0.7401531083243233
ENCSR756CCD	thyroid gland	20201961	19861679	40063640	0.5193702408245632	0.33109677689416067	0.7031343749591282	0.722591051033565
ENCSR023NXW	right common carotid artery plus branches	23962780	24081336	48044116	0.46790357146944317	0.36210321954318453	0.7175324048314776	0.7260122043745858
ENCSR266TET	bronchial lymph node	23050822	22905373	45956195	0.4692067333630153	0.35723161697387695	0.7034566487584796	0.6963664293289185
ENCSR045XAW	urinary bladder	13523667	13330415	26854082	0.5008639820984432	0.346866922719138	0.7078322853360858	0.7223912136895316
ENCSR934ZMQ	Metastatic Breast Carcinoma in the Ovary	13902789	13810993	27713782	0.5546655484608242	0.32013300912720816	0.7486028756414141	0.7672835418156215
ENCSR118KGX	T-cell	8673170	8576792	17249962	0.5151978986603873	0.3386657323156084	0.5890277538980756	0.6111949171338763
ENCSR296MTV	left common carotid artery plus branches	3933309	3778037	7711346	0.5373206990105766	0.341647207736969	0.6105793459074838	0.6144913860729763
ENCSR212GWU	breast	8005118	7983628	15988746	0.5364060487065997	0.32274810331208365	0.6825338006019592	0.6828825218336922
ENCSR408RHY	adrenal gland	15990787	15778082	31768869	0.5848195552825928	0.3154345623084477	0.7449934482574463	0.7723484124456134
ENCSR594WJV	cytotoxic T cell	9664562	9636694	19301256	0.5182734174387795	0.3612593838146755	0.6312466774668012	0.6573364223752703
ENCSR797AOQ	spleen	16390851	16276976	32667827	0.48409790652138845	0.3523077666759491	0.708131228174482	0.7205293263707843
ENCSR675RBN	cerebral cortex	104025	103617	207642	0.41360359106745037	0.4651261993816921	0.2881062797137669	0.2850719009126936
ENCSR812JCT	heart left ventricle	14493863	14384436	28878299	0.46493177328790936	0.394043892621994	0.7383243186133248	0.7549692051751273
ENCSR740DLY	peripheral blood mononuclear cell	14572259	14485244	29057503	0.4577828986304147	0.40337146180016653	0.6792356542178563	0.6771673815590995
ENCSR964OON	sternocleidomastoid	13716878	13571390	27288268	0.5471850378172738	0.32255011796951294	0.7526493838855198	0.7663935167448861
ENCSR883PPD	right cardiac atrium	13148884	13051698	26200582	0.5331688097545079	0.33160859772137236	0.7522405556270054	0.7666836891855512
ENCSR784FKF	vermiform appendix	15916051	15701305	31617356	0.5267997894968305	0.3437922554356711	0.7467535052980695	0.762604364327022
ENCSR273JQN	HCT116	27431155	27047478	54478633	0.6518203275544303	0.26875813943999155	0.7505763854299273	0.7913323981421334
ENCSR074XOP	HCT116	24767749	24520430	49288179	0.6330634781292507	0.2730184963771275	0.7505675724574498	0.7888849462781634
ENCSR635SXX	HCT116	19661538	19447898	39109436	0.6278127431869507	0.2790537008217403	0.7513969029699054	0.7817243082182748
ENCSR990FJB	HCT116	17262232	17074540	34336772	0.6382240908486503	0.2730217022555215	0.7312946575028556	0.7690921936716352
ENCSR261OWE	HCT116	17421587	17188183	34609770	0.6467596462794712	0.26868919815335957	0.7401809862681797	0.7755453245980399
ENCSR932TRR	HCT116	16534624	16316522	32851146	0.6052042501313346	0.30524649790355135	0.7780812127249581	0.8017537764140538
ENCSR604EBH	K562	7133512	7066991	14200503	0.5827521937234061	0.30268761941364836	0.6564781580652509	0.6829943912369865
ENCSR124AWE	SUDHL5	9170046	9121455	18291501	0.49243070823805674	0.35848855546542574	0.5603422352245876	0.5844159892627171
ENCSR548GOG	stomach	14233803	13953078	28186881	0.5129807761737278	0.353490161044257	0.7367623703820365	0.7573127831731524
ENCSR973QQI	ReNcell CX	8793246	8681793	17475039	0.6004761457443237	0.3267271603856768	0.7319828953061785	0.761098963873727
ENCSR473KVF	HEK293T	30594669	30793702	61388371	0.540300020149776	0.29750686458178927	0.7665713344301496	0.7830748302595956
ENCSR382HFH	peripheral blood mononuclear cell	10582528	10353550	20936078	0.4569763498646872	0.39473711592810495	0.6597366162708828	0.6847633038248334
ENCSR624CVP	peritoneum	1156851	1123200	2280051	0.5113767385482788	0.41742390394210815	0.607546729700906	0.5761210237230573
ENCSR575EOB	Metastatic Breast Carcinoma in the Brain	9866497	9624274	19490771	0.5196279627936227	0.3462695777416229	0.7003204141344342	0.7208227004323687
ENCSR701MOE	T-cell	9305776	9164848	18470624	0.514744690486363	0.3379871930394854	0.5558274643761771	0.5819733483450753
ENCSR657PSE	aorta	4515745	4392855	8908600	0.5402536562510899	0.34453230244772776	0.6668578897203717	0.6824012654168266
ENCSR472ETC	fallopian tube	21885831	21883008	43768839	0.5172141705240522	0.3538875622408731	0.7493706515857151	0.7604764359337943
ENCSR077MAX	tibial nerve	10056889	10104472	20161361	0.5081104040145874	0.34219458273478914	0.694943904876709	0.7115502868379865
ENCSR426RMA	heart left ventricle	9553430	9459220	19012650	0.5443461792809623	0.33902827330998014	0.7607981051717486	0.7793872782162258
ENCSR489FZB	T-cell	27432493	27321962	54754455	0.4239094299929483	0.3909807630947658	0.6851926786558968	0.6903141226087298
ENCSR683FOJ	mesenteric fat pad	1880710	1848181	3728891	0.5661283901759556	0.35036037649427143	0.5827106748308454	0.5787346873964582
ENCSR683YVU	helper T cell	16771463	16768949	33540412	0.5366373062133789	0.3234294738088335	0.610637196472713	0.6290332930428642
ENCSR574ZMF	ovary	27075701	27295213	54370914	0.5054732646260943	0.3315805877958025	0.7209068621907916	0.7349905882562909
ENCSR245UIS	Karpas-422	4857682	4690543	9548225	0.4852890201977321	0.38152892674718586	0.5541250279971531	0.5900531496320452
ENCSR836XBB	rectum	42238114	41486806	83724920	0.47837526883397785	0.3460325598716736	0.7482207672936576	0.7528417025293622
ENCSR526QVD	ureter	10390867	10284852	20675719	0.5099443580423083	0.33361591185842243	0.6961132202829633	0.7031496678079877
ENCSR876AEQ	Metastatic Liver Carcinoma in the Adrenal Gland	7646145	7772784	15418929	0.5368086269923619	0.3338728163923536	0.6206001809665135	0.643283656665257
ENCSR229XTQ	skeletal muscle tissue	3858395	3754710	7613105	0.5816130552973066	0.3190870114735195	0.6736100571496146	0.6817353112357003
ENCSR659YNL	left lung	17516233	17175232	34691465	0.49877399631908964	0.38059515612465994	0.8108687230518886	0.8246134775025504
ENCSR282IJP	neutrophil	2631412	2579807	5211219	0.5265503951481411	0.36418546523366657	0.43793722135680063	0.46497033323560444
ENCSR888DKJ	Metastatic Breast Carcinoma in the Brain	4389130	4357006	8746136	0.5455180747168404	0.33286550641059875	0.6307822636195591	0.6516729252679008
ENCSR754LBG	duodenum	10727656	10479499	21207155	0.508971916777747	0.3399521325315748	0.7044617703982762	0.7230331897735596
ENCSR250REI	peripheral blood mononuclear cell	15523270	15397511	30920781	0.45789080006735666	0.3815601978983198	0.7216396246637616	0.7353125895772662
ENCSR180NBV	Metastatic Breast Carcinoma in the Brain	5187687	5114922	10302609	0.5260734898703439	0.3460393803460257	0.6563616820744106	0.6746652126312256
ENCSR739MOQ	body of pancreas	14797231	14634265	29431496	0.49124868852751596	0.34084993600845337	0.6981705938066755	0.7114044598170689
ENCSR117JKC	trachea	13552409	13339788	26892197	0.5422774681023189	0.3245548733643123	0.7169349363871983	0.73648772920881
ENCSR008TSD	Metastatic Breast Carcinoma in the Brain	17170487	16776867	33947354	0.5560984781810215	0.3144295258181436	0.7162195614406041	0.7400880796568734
ENCSR723JIC	peripheral blood mononuclear cell	15596966	15387396	30984362	0.4604798342500414	0.4057727796690805	0.6972038064684186	0.6883577108383179
ENCSR980TGS	Metastatic Breast Carcinoma in the Brain	16620442	16451044	33071486	0.4832067830221994	0.3636378347873688	0.7226926854678563	0.7368126852171761
ENCSR083AMN	B cell	24680772	24569438	49250210	0.4694844271455492	0.3498766464846475	0.6787321226937431	0.6954147560255868
ENCSR756TPG	K562	6471366	6274739	12746105	0.460687701191221	0.41568162611552645	0.5346679730074746	0.5989373368876321
ENCSR089CQL	T-cell	12721332	12442342	25163674	0.5448734504835946	0.3144858734948294	0.5662670646395002	0.5885686789240155
ENCSR294JPW	left ventricle myocardium	14573483	14480743	29054226	0.5281041860580444	0.336755062852587	0.7200232318469456	0.7395801884787423
ENCSR321WCE	neural crest cell	18358744	18140318	36499062	0.6218298418181283	0.29065130012375967	0.7193879399980817	0.7557472671781268
ENCSR357VUN	ovary	42775018	42895612	85670630	0.47933986357280184	0.34569323914391653	0.7275971003941127	0.7373755063329425
ENCSR393PGX	breast epithelium	7273495	7148872	14422367	0.5252462114606585	0.3358000261443002	0.6799210906028748	0.6869096755981445
ENCSR489BCG	pancreas	16751628	16491643	33243271	0.5083391836711338	0.3315380726541792	0.740014408315931	0.7556955218315125
ENCSR243MVI	liver	3650765	3659345	7310110	0.517809442111424	0.35667205708367483	0.6145690083503723	0.6356642246246338
ENCSR104MSL	pancreas	8003230	7921625	15924855	0.4858727923461369	0.37174493074417114	0.746056147984096	0.7519454530307225
ENCSR928ZWP	lower leg skin	16358801	16223756	32582557	0.4891533596175058	0.3478156455925533	0.7442215170179095	0.7595425162996564
ENCSR331UGM	liver	25809699	25873850	51683549	0.457782438823155	0.37146119134766714	0.7043117199625287	0.6922134842191424
ENCSR149WMX	Metastatic Liver Carcinoma in the Lung	10041076	9983443	20024519	0.5538267493247986	0.3272719085216522	0.691969735281808	0.7181861996650696
ENCSR633OWM	pulmonary lymph node	15908233	15828260	31736493	0.5208700980458941	0.33318776743752615	0.7001204916409084	0.710542619228363
ENCSR384HWB	ascending aorta	5311053	5191447	10502500	0.5014055030686515	0.34751823118754793	0.5753964952060154	0.5950420754296439
ENCSR347PQY	upper lobe of left lung	9758696	9813768	19572464	0.5115914727960315	0.34041800669261385	0.6280383552823748	0.651923520224435
ENCSR335ZMZ	OCI-LY7	9604955	9559605	19164560	0.5727671129362923	0.3097803975854601	0.6887151513780866	0.7216952187674386
ENCSR657RPS	uterus	13811824	13782224	27594048	0.5220818604741778	0.34318665095738005	0.7223096489906311	0.737005957535335
ENCSR149ZRX	K562	5687168	5529695	11216863	0.4255601337977818	0.4332710291658129	0.5244682388646262	0.5767350580011096
ENCSR834OVY	peripheral blood mononuclear cell	14431245	14291395	28722640	0.4822359425680978	0.3933491919721876	0.7258952260017395	0.7348160403115409
ENCSR262PWK	type B pancreatic cell	10415317	10175176	20590493	0.5471303888729641	0.3399025116647993	0.736904399735587	0.7656708104269845
ENCSR300AAD	Metastatic Liver Carcinoma in the Adrenal Gland	5324312	5423378	10747690	0.5370511327471051	0.33657399245670866	0.5761356013161796	0.6052171502794538
ENCSR900SLO	HCT116	19826257	19646586	39472843	0.6290121504238674	0.2743699252605438	0.7575450113841465	0.7874085647719247
ENCSR687HZX	Metastatic Breast Carcinoma in the Brain	25966959	25917864	51884823	0.4817829983575003	0.35294763105256216	0.7098539812224252	0.7213383742741176
ENCSR997YHR	lung	3885366	3770140	7655506	0.5592823965208871	0.3576301123414721	0.7076864923749652	0.6980687805584499
ENCSR744JVA	pancreas	17943314	17609472	35552786	0.4735949635505676	0.35589891246386934	0.7598848683493478	0.7753086856433323
ENCSR338WJS	pancreas	16806356	16556327	33362683	0.5065961565290179	0.3220489365713937	0.7279629026140485	0.7383840594972882
ENCSR407CCJ	cerebellum	3358206	3478325	6836531	0.5175212238516126	0.3435214034148625	0.6185638649123055	0.6404048545019967
ENCSR155NVW	penis	11794123	11591903	23386026	0.5950746536254883	0.31093625511441914	0.7502073475292751	0.7687627758298602
ENCSR305RPP	testis	15383610	15368061	30751671	0.5387782241616931	0.3342659260545458	0.793805548122951	0.8088823727199009
ENCSR290MPW	heart left ventricle	14591287	14408222	28999509	0.5057299648012433	0.3667647923742022	0.7057893446513585	0.7098289217267718
ENCSR219NJB	spleen	26839803	27080278	53920081	0.4400099686213902	0.37238562958581106	0.7777707065854754	0.7881061690194267
ENCSR219QKX	heart right ventricle	12176402	12140285	24316687	0.5406636766024998	0.3340326505047934	0.7351945723806109	0.7515384640012469
